key,percent_black,percent_white,percent_hispanic,percent_bachelors,population,median_income
28029,0.515701203,0.438896881,0.031648012,0.145,28501,42151
28049,0.726194215,0.244965389,0.015393828,0.29,238797,44625
28145,0.155189953,0.781983373,0.043778721,0.134,28507,45754
28139,0.167408484,0.769960941,0.047733672,0.152,22018,39246
28035,0.371570244,0.5690737,0.029285866,0.278,75224,39840
28071,0.236182124,0.700485165,0.026254898,0.456,53590,50272
28087,0.437903635,0.517413356,0.02035503,0.234,59150,50441
28157,0.710647887,0.278197183,0.002140845,0.137,8875,27313
28065,0.61292883,0.377017374,0.003527648,0.141,11339,32116
28123,0.380876747,0.493329098,0.112840604,0.114,28332,34943
28163,0.596079118,0.346683004,0.045930334,0.134,28565,33279
28011,0.642206732,0.324667169,0.021571213,0.236,31848,29854
28113,0.542750177,0.433825761,0.015885865,0.166,39532,31784
28131,0.18335522,0.76499234,0.020190414,0.158,18276,45483
28069,0.616916424,0.339434778,0.00583325,0.147,9943,31103
28133,0.738764904,0.237694895,0.018113727,0.154,26168,30838
28001,0.563231625,0.362086612,0.058498049,0.174,31266,29936
28033,0.272859338,0.642843973,0.049370024,0.25,178975,67038
28103,0.721588785,0.258504673,0.014018692,0.156,10700,33784
28137,0.299042388,0.646000563,0.026299113,0.158,28404,51030
28107,0.485990056,0.469201521,0.020444574,0.149,34190,38304
28161,0.396539177,0.580173041,0.013907981,0.138,12367,41464
28009,0.341715258,0.604591837,0.025996113,0.115,8232,36258
28037,0.359756886,0.631578947,0.002715634,0.12,7733,40219
28027,0.776177166,0.207869275,0.003698129,0.165,23255,29121
28061,0.543108149,0.447076643,0.004544078,0.151,16505,35872
28067,0.293729518,0.645657772,0.04495845,0.208,68352,41775
28147,0.463217517,0.52655937,0.008219935,0.144,14477,30961
28095,0.312056738,0.670058588,0.012614582,0.167,35673,42354
28115,0.160288443,0.764469606,0.06866342,0.181,31618,44759
28051,0.840221007,0.15425382,0.00169138,0.102,17737,21504
28005,0.419110538,0.573557847,0,0.126,12412,33981
28089,0.379975517,0.553413286,0.029963084,0.484,104562,71824
28013,0.273674046,0.64487206,0.060211049,0.118,14499,37263
28091,0.325730292,0.648019208,0.016086435,0.123,24990,32090
28141,0.026541845,0.931896507,0.031685613,0.114,19441,37681
28153,0.410297943,0.574044078,0.006479164,0.153,20373,37706
28041,0.259289117,0.722682301,0.011945768,0.097,13645,49677
28093,0.478019045,0.477260597,0.03693924,0.138,35599,42233
28119,0.720189231,0.260331153,0.01224433,0.103,7187,25283
28109,0.127763994,0.818142306,0.030949492,0.167,55219,46901
28079,0.419226044,0.47016497,0.046463671,0.143,22792,37096
28099,0.209498159,0.582742397,0.021341879,0.116,29332,37987
28121,0.207778513,0.739312405,0.027515605,0.29,152677,65996
28151,0.721605836,0.251362442,0.016175608,0.179,46057,29705
28077,0.325259242,0.648777013,0.0091823,0.176,12633,41914
28111,0.198150925,0.775612194,0.015075795,0.107,12006,42469
28017,0.442970977,0.495841331,0.048915256,0.124,17193,36548
28015,0.347467726,0.643594836,0.002383317,0.122,10070,46052
28039,0.080277627,0.871137684,0.028557093,0.138,23917,47292
28043,0.434417678,0.546661608,0.006022382,0.213,21088,40122
28063,0.857854671,0.12982699,0.072249135,0.159,7225,25019
28101,0.305009363,0.602481273,0.019101124,0.164,21360,35958
