key,value
06001,110608
06003,94
06005,4642
06007,16504
06009,3106
06011,2754
06013,90862
06015,3023
06017,13827
06019,119384
06021,2899
06023,7337
06025,30548
06027,1589
06029,126859
06031,26989
06033,5525
06035,6341
06037,1420560
06039,19155
06041,16365
06043,839
06045,6153
06047,37265
06049,627
06051,1461
06053,46684
06055,11770
06057,7722
06059,307051
06061,31487
06063,1067
06065,337921
06067,141276
06069,6788
06071,332895
06073,340222
06075,48035
06077,89121
06079,26098
06081,49809
06083,39762
06085,136146
06087,18588
06089,16020
06091,198
06093,3443
06095,42038
06097,37881
06099,76095
06101,12179
06103,7143
06105,692
06107,56915
06109,5778
90006,130
06111,91004
06113,17557
06115,8865
