fipscode,last,party,votepct
2000,Trump,GOP,0.531229
1001,Trump,GOP,0.716406
1003,Trump,GOP,0.763999
1005,Trump,GOP,0.535123
1007,Trump,GOP,0.785081
1009,Trump,GOP,0.896626
1011,Trump,GOP,0.248536
1013,Trump,GOP,0.575617
1015,Trump,GOP,0.690014
1017,Trump,GOP,0.573629
1019,Trump,GOP,0.861177
1021,Trump,GOP,0.834241
1023,Trump,GOP,0.575794
1025,Trump,GOP,0.557892
1027,Trump,GOP,0.809276
1029,Trump,GOP,0.898185
1031,Trump,GOP,0.759881
1033,Trump,GOP,0.690308
1035,Trump,GOP,0.534472
1037,Trump,GOP,0.663439
1039,Trump,GOP,0.838083
1041,Trump,GOP,0.736077
1043,Trump,GOP,0.882804
1045,Trump,GOP,0.72582
1047,Trump,GOP,0.309572
1049,Trump,GOP,0.845348
1051,Trump,GOP,0.736984
1053,Trump,GOP,0.684403
1055,Trump,GOP,0.745979
1057,Trump,GOP,0.83419
1059,Trump,GOP,0.825589
1061,Trump,GOP,0.865555
1063,Trump,GOP,0.183554
1065,Trump,GOP,0.40446
1067,Trump,GOP,0.711808
1069,Trump,GOP,0.70804
1071,Trump,GOP,0.833651
1073,Trump,GOP,0.428384
1075,Trump,GOP,0.85929
1077,Trump,GOP,0.718108
1079,Trump,GOP,0.769644
1081,Trump,GOP,0.593826
1083,Trump,GOP,0.706074
1085,Trump,GOP,0.268657
1087,Trump,GOP,0.177106
1089,Trump,GOP,0.530436
1091,Trump,GOP,0.490634
1093,Trump,GOP,0.885511
1095,Trump,GOP,0.838813
1097,Trump,GOP,0.554285
1099,Trump,GOP,0.576912
1101,Trump,GOP,0.337282
1103,Trump,GOP,0.739959
1105,Trump,GOP,0.256366
1107,Trump,GOP,0.579329
1109,Trump,GOP,0.582247
1111,Trump,GOP,0.790816
1113,Trump,GOP,0.463316
1115,Trump,GOP,0.815358
1117,Trump,GOP,0.696496
1119,Trump,GOP,0.254337
1121,Trump,GOP,0.624228
1123,Trump,GOP,0.714156
1125,Trump,GOP,0.569175
1127,Trump,GOP,0.835728
1129,Trump,GOP,0.740273
1131,Trump,GOP,0.310783
1133,Trump,GOP,0.904534
5001,Trump,GOP,0.684043
5003,Trump,GOP,0.699975
5005,Trump,GOP,0.753844
5007,Trump,GOP,0.616827
5009,Trump,GOP,0.797709
5011,Trump,GOP,0.639026
5013,Trump,GOP,0.749771
5015,Trump,GOP,0.629313
5017,Trump,GOP,0.427005
5019,Trump,GOP,0.549851
5021,Trump,GOP,0.788347
5023,Trump,GOP,0.814511
5025,Trump,GOP,0.796389
5027,Trump,GOP,0.638347
5029,Trump,GOP,0.655613
5031,Trump,GOP,0.663655
5033,Trump,GOP,0.772363
5035,Trump,GOP,0.448036
5037,Trump,GOP,0.712475
5039,Trump,GOP,0.593809
5041,Trump,GOP,0.461335
5043,Trump,GOP,0.62956
5045,Trump,GOP,0.632413
5047,Trump,GOP,0.796325
5049,Trump,GOP,0.773784
5051,Trump,GOP,0.657685
5053,Trump,GOP,0.828537
5055,Trump,GOP,0.786957
5057,Trump,GOP,0.652745
5059,Trump,GOP,0.732818
5061,Trump,GOP,0.696525
5063,Trump,GOP,0.775221
5065,Trump,GOP,0.797074
5067,Trump,GOP,0.705755
5069,Trump,GOP,0.378448
5071,Trump,GOP,0.73047
5073,Trump,GOP,0.655842
5075,Trump,GOP,0.780092
5077,Trump,GOP,0.451545
5079,Trump,GOP,0.704258
5081,Trump,GOP,0.717597
5083,Trump,GOP,0.7831
5085,Trump,GOP,0.746331
5087,Trump,GOP,0.769691
5089,Trump,GOP,0.770758
5091,Trump,GOP,0.721157
5093,Trump,GOP,0.591152
5095,Trump,GOP,0.548651
5097,Trump,GOP,0.78647
5099,Trump,GOP,0.6352
5101,Trump,GOP,0.798399
5103,Trump,GOP,0.549797
5105,Trump,GOP,0.751891
5107,Trump,GOP,0.387216
5109,Trump,GOP,0.82878
5111,Trump,GOP,0.786863
5113,Trump,GOP,0.828622
5115,Trump,GOP,0.740054
5117,Trump,GOP,0.797139
5119,Trump,GOP,0.374726
5121,Trump,GOP,0.786113
5123,Trump,GOP,0.456106
5125,Trump,GOP,0.694464
5127,Trump,GOP,0.834131
5129,Trump,GOP,0.837273
5131,Trump,GOP,0.661816
5133,Trump,GOP,0.746636
5135,Trump,GOP,0.784827
5137,Trump,GOP,0.777366
5139,Trump,GOP,0.630939
5141,Trump,GOP,0.772896
5143,Trump,GOP,0.503936
5145,Trump,GOP,0.782969
5147,Trump,GOP,0.623183
5149,Trump,GOP,0.775256
4001,Biden,Dem,0.66226
4003,Biden,Dem,0.392641
4005,Biden,Dem,0.610028
4007,Biden,Dem,0.323295
4009,Biden,Dem,0.269023
4011,Biden,Dem,0.32076
4012,Biden,Dem,0.299812
4013,Biden,Dem,0.503241
4015,Biden,Dem,0.237236
4017,Biden,Dem,0.451697
4019,Biden,Dem,0.586054
4021,Biden,Dem,0.406035
4023,Biden,Dem,0.671814
4025,Biden,Dem,0.346332
4027,Biden,Dem,0.460926
6001,Biden,Dem,0.802296
6003,Biden,Dem,0.642375
6005,Biden,Dem,0.365573
6007,Biden,Dem,0.494169
6009,Biden,Dem,0.369828
6011,Biden,Dem,0.406858
6013,Biden,Dem,0.716388
6015,Biden,Dem,0.4084
6017,Biden,Dem,0.44448
6019,Biden,Dem,0.529112
6021,Biden,Dem,0.35379
6023,Biden,Dem,0.650433
6025,Biden,Dem,0.611411
6027,Biden,Dem,0.488767
6029,Biden,Dem,0.436942
6031,Biden,Dem,0.426353
6033,Biden,Dem,0.518785
6035,Biden,Dem,0.233542
6037,Biden,Dem,0.710432
6039,Biden,Dem,0.431257
6041,Biden,Dem,0.823409
6043,Biden,Dem,0.397665
6045,Biden,Dem,0.664159
6047,Biden,Dem,0.541092
6049,Biden,Dem,0.265099
6051,Biden,Dem,0.595666
6053,Biden,Dem,0.695331
6055,Biden,Dem,0.690732
6057,Biden,Dem,0.561633
6059,Biden,Dem,0.534925
6061,Biden,Dem,0.454729
6063,Biden,Dem,0.405206
6065,Biden,Dem,0.529926
6067,Biden,Dem,0.613691
6069,Biden,Dem,0.611637
6071,Biden,Dem,0.542088
6073,Biden,Dem,0.602258
6075,Biden,Dem,0.852744
6077,Biden,Dem,0.558644
6079,Biden,Dem,0.55304
6081,Biden,Dem,0.779045
6083,Biden,Dem,0.648881
6085,Biden,Dem,0.726574
6087,Biden,Dem,0.789014
6089,Biden,Dem,0.322928
6091,Biden,Dem,0.378238
6093,Biden,Dem,0.409083
6095,Biden,Dem,0.639549
6097,Biden,Dem,0.745336
6099,Biden,Dem,0.492568
6101,Biden,Dem,0.407294
6103,Biden,Dem,0.310261
6105,Biden,Dem,0.455577
6107,Biden,Dem,0.450208
6109,Biden,Dem,0.394
6111,Biden,Dem,0.594722
6113,Biden,Dem,0.694995
6115,Biden,Dem,0.37701
8001,Biden,Dem,0.566887
8003,Biden,Dem,0.481429
8005,Biden,Dem,0.609987
8007,Biden,Dem,0.408793
8009,Biden,Dem,0.142472
8011,Biden,Dem,0.3219
8013,Biden,Dem,0.771861
8015,Biden,Dem,0.52198
8017,Biden,Dem,0.115317
8019,Biden,Dem,0.550397
8021,Biden,Dem,0.452112
8023,Biden,Dem,0.626074
8025,Biden,Dem,0.249714
8027,Biden,Dem,0.305999
8029,Biden,Dem,0.303924
8031,Biden,Dem,0.795509
8033,Biden,Dem,0.235335
8037,Biden,Dem,0.637886
8039,Biden,Dem,0.236527
8041,Biden,Dem,0.427455
8043,Biden,Dem,0.288336
8045,Biden,Dem,0.499191
8047,Biden,Dem,0.531056
8049,Biden,Dem,0.477204
8051,Biden,Dem,0.637355
8053,Biden,Dem,0.403481
8055,Biden,Dem,0.471176
8057,Biden,Dem,0.199772
8059,Biden,Dem,0.578752
8061,Biden,Dem,0.108527
8063,Biden,Dem,0.171015
8065,Biden,Dem,0.581419
8067,Biden,Dem,0.576107
8069,Biden,Dem,0.562187
8071,Biden,Dem,0.439266
8073,Biden,Dem,0.177292
8075,Biden,Dem,0.210596
8077,Biden,Dem,0.347995
8079,Biden,Dem,0.419312
8081,Biden,Dem,0.171221
8083,Biden,Dem,0.376516
8085,Biden,Dem,0.308442
8087,Biden,Dem,0.282014
8089,Biden,Dem,0.376462
8091,Biden,Dem,0.588308
8095,Biden,Dem,0.195573
8097,Biden,Dem,0.751777
8099,Biden,Dem,0.262183
8101,Biden,Dem,0.495725
8103,Biden,Dem,0.151991
8105,Biden,Dem,0.395718
8107,Biden,Dem,0.627044
8109,Biden,Dem,0.555916
8111,Biden,Dem,0.608541
8113,Biden,Dem,0.762386
8115,Biden,Dem,0.20816
8117,Biden,Dem,0.683533
8119,Biden,Dem,0.311589
8121,Biden,Dem,0.122673
8123,Biden,Dem,0.395645
8125,Biden,Dem,0.157599
8035,Biden,Dem,0.451872
8014,Biden,Dem,0.623542
8093,Biden,Dem,0.398942
9013,Biden,Dem,0.547345
9009,Biden,Dem,0.580625
9015,Biden,Dem,0.467968
9003,Biden,Dem,0.630823
9005,Biden,Dem,0.466512
9001,Biden,Dem,0.630008
9011,Biden,Dem,0.569264
9007,Biden,Dem,0.573255
11001,Biden,Dem,0.929969
10001,Biden,Dem,0.511945
10003,Biden,Dem,0.678065
10005,Biden,Dem,0.4382
12001,Trump,GOP,0.357488
12003,Trump,GOP,0.847215
12005,Trump,GOP,0.710659
12007,Trump,GOP,0.758125
12009,Trump,GOP,0.5763
12011,Trump,GOP,0.348168
12013,Trump,GOP,0.808152
12015,Trump,GOP,0.629582
12017,Trump,GOP,0.701209
12019,Trump,GOP,0.679138
12021,Trump,GOP,0.620552
12023,Trump,GOP,0.721385
12086,Trump,GOP,0.460614
12027,Trump,GOP,0.656687
